,wl,power
0,300,3.06968441e-13
1,301,5.658902756198346e-13
2,302,8.348210882590165e-13
3,303,1.9764543225999995e-12
4,304,2.572313987682927e-12
5,305,4.361489682697579e-12
6,306,4.803235978632001e-12
7,307,7.0316798777500024e-12
8,308,9.329250293434784e-12
9,309,9.75790798207843e-12
10,310,1.1974592078531249e-11
11,311,1.9052310743666668e-11
12,312,2.0994276998399997e-11
13,313,2.3665815941149443e-11
14,314,2.5898903569657784e-11
15,315,2.8939753990566043e-11
16,316,2.5758111601348316e-11
17,317,3.518300974559702e-11
18,318,3.548430902518517e-11
19,319,4.0589048270479697e-11
20,320,3.996151485281023e-11
21,321,4.7779813720436364e-11
22,322,4.165657205101084e-11
23,323,3.9218742678273373e-11
24,324,5.0194305914999994e-11
25,325,5.015818563276599e-11
26,326,6.752910989823322e-11
27,327,6.943374498181818e-11
28,328,6.034543401867596e-11
29,329,7.160999783910038e-11
30,330,7.904528971360828e-11
31,331,6.674912057493151e-11
32,332,7.13657293867347e-11
33,333,6.935649248000001e-11
34,334,6.625583692080536e-11
35,335,7.330318350933336e-11
36,336,6.489406595996674e-11
37,337,5.7747164112871294e-11
38,338,6.642907840078432e-11
39,339,7.038996935423454e-11
40,340,7.550083288766234e-11
41,341,7.000837028341938e-11
42,342,7.201927793211537e-11
43,343,7.536553155286625e-11
44,344,6.08710006387619e-11
45,345,6.603129914666667e-11
46,346,6.800084475375e-11
47,347,7.00361966742857e-11
48,348,6.701435081386996e-11
49,349,6.509871137021537e-11
50,350,7.324300183235473e-11
51,351,7.614674594784196e-11
52,352,7.1042537723142e-11
53,353,7.09916334006006e-11
54,354,8.215296293068657e-11
55,355,8.238398826428572e-11
56,356,7.425957948934911e-11
57,357,6.11583258707647e-11
58,358,5.7218394684897955e-11
59,359,6.196856121052327e-11
60,360,7.894626914219653e-11
61,361,6.859440274544408e-11
62,362,6.972136636342857e-11
63,363,7.833257765982954e-11
64,364,7.906327927118643e-11
65,365,8.071437340165729e-11
66,366,9.47352151077095e-11
67,367,9.346362151666667e-11
68,368,8.583128069817173e-11
69,369,8.866950753461537e-11
70,370,9.682577256978082e-11
71,371,8.859029839269751e-11
72,372,8.580853329582657e-11
73,373,7.88836888281402e-11
74,374,7.071042366327077e-11
75,375,7.469569533226667e-11
76,376,8.570077060795754e-11
77,377,9.007373471250002e-11
78,378,1.084034257066754e-10
79,379,9.425678118736985e-11
80,380,8.836793211450776e-11
81,381,9.724245512497425e-11
82,382,7.441744067025638e-11
83,383,5.809203401677747e-11
84,384,6.697621959979695e-11
85,385,8.877076717727272e-11
86,386,8.759682452261307e-11
87,387,9.927542500393445e-11
88,388,1.0740912953910426e-10
89,389,1.4424164488831668e-10
90,390,2.096541557013786e-10
91,391,3.1106011750480206e-10
92,392,4.2236484444097077e-10
93,393,3.7785255322330233e-10
94,394,5.920213876398544e-10
95,395,1.4869582318961647e-09
96,396,2.0775846514999882e-09
97,397,1.8096388902254102e-09
98,398,5.323921555016791e-09
99,399,1.0023477052399847e-08
100,400,1.512543436491798e-08
101,401,2.271194561233103e-08
102,402,3.359050484025547e-08
103,403,4.4900037609677626e-08
104,404,6.381631653172389e-08
105,405,8.429604342013679e-08
106,406,1.1242535208154354e-07
107,407,1.4681361920451439e-07
108,408,2.0494592214054026e-07
109,409,2.8548711804708495e-07
110,410,3.1758033780400973e-07
111,411,4.5625556289179904e-07
112,412,6.194584104503349e-07
113,413,7.504041108727478e-07
114,414,9.299854901549236e-07
115,415,1.1993643119269644e-06
116,416,1.5250855360691101e-06
117,417,1.8312776194655144e-06
118,418,2.1334043334484897e-06
119,419,2.6994479781492613e-06
120,420,2.97454916912102e-06
121,421,4.066716109404649e-06
122,422,4.7796887657772865e-06
123,423,5.505698451564898e-06
124,424,6.459996795e-06
125,425,7.828230084521726e-06
126,426,8.893353530288707e-06
127,427,1.0000555027885015e-05
128,428,1.1712105046400818e-05
129,429,1.2510556911443133e-05
130,430,1.1490280591117381e-05
131,431,1.1939848367802426e-05
132,432,2.270683594092363e-05
133,433,2.4023077771496996e-05
134,434,2.5203177781312172e-05
135,435,3.125038322368319e-05
136,436,3.86706372494292e-05
137,437,4.4382850184156674e-05
138,438,4.366747097625e-05
139,439,4.700139409223286e-05
140,440,6.005502092794982e-05
141,441,6.593352439404617e-05
142,442,7.827489129310367e-05
143,443,8.794064215709935e-05
144,444,9.463926892000001e-05
145,445,0.00010830167882187496
146,446,0.00010685807437182666
147,447,0.00013334052842673541
148,448,0.0001479361972779851
149,449,0.00016134740950092964
150,450,0.00018266216527541577
151,451,0.0002063864914657453
152,452,0.00021496224646458715
153,453,0.00021563404854416066
154,454,0.00025069817194555257
155,455,0.000269485133537794
156,456,0.0003006139535063076
157,457,0.00032707395530573414
158,458,0.00034468389349607236
159,459,0.00036771903886512376
160,460,0.00039230630195575134
161,461,0.00043510405833309835
162,462,0.0004702149527108976
163,463,0.0005041363214557694
164,464,0.0005216600137238251
165,465,0.00054891119051038
166,466,0.0005963181751538858
167,467,0.0006058505823530932
168,468,0.000670482566665811
169,469,0.0007130601492880542
170,470,0.0007253376651604425
171,471,0.0007791446465942669
172,472,0.0008650652742581516
173,473,0.0008763531966321605
174,474,0.0009331888791433322
175,475,0.0010140367114179114
176,476,0.00102899065480909
177,477,0.0010870597442682048
178,478,0.0011767817089296231
179,479,0.001209323910192156
180,480,0.001287413310020326
181,481,0.0013459810950400312
182,482,0.0014119733140025789
183,483,0.0014562369002773666
184,484,0.0014901271026342394
185,485,0.00154812516404363
186,486,0.0013066619277206325
187,487,0.0015222263618815174
188,488,0.0017119216191886794
189,489,0.0016737048058934165
190,490,0.0019396753797191902
191,491,0.0019313390065707643
192,492,0.0019056562904806807
193,493,0.0021077650665000023
194,494,0.0021251994832949313
195,495,0.0023290702941055038
196,496,0.00228409557192683
197,497,0.0023929775712776945
198,498,0.00239674745947432
199,499,0.0024653737391340377
200,500,0.002524736208767617
201,501,0.002514783094923764
202,502,0.0025796284885884094
203,503,0.002767858330185463
204,504,0.0026453517840250395
205,505,0.0029053955800588246
206,506,0.0030951711666666686
207,507,0.003031447377026241
208,508,0.0030223567451886776
209,509,0.0032389670419999982
210,510,0.0032251873578777006
211,511,0.0033562338474648497
212,512,0.003518706264559998
213,513,0.003375302533243243
214,514,0.0033719190728622125
215,515,0.003539879637593223
216,516,0.0036439139441549265
217,517,0.003027325816195808
218,518,0.00352945303782821
219,519,0.0034851531734094747
220,520,0.003875243194753464
221,521,0.003975807172696132
222,522,0.004138863893076925
223,523,0.003970856264791782
224,524,0.004347734306830601
225,525,0.00439107403511277
226,526,0.004342196189001351
227,527,0.003861037794291888
228,528,0.004490539441149193
229,529,0.004773464571686747
230,530,0.004659780254488651
231,531,0.004990523465922976
232,532,0.004974671485150794
233,533,0.004510008881143986
234,534,0.004904041589448816
235,535,0.00505395994710733
236,536,0.005350690336558749
237,537,0.005027336028809339
238,538,0.005360094134219926
239,539,0.005310587056185803
240,540,0.0052094160499999995
241,541,0.005087471515140846
242,542,0.005626717100290814
243,543,0.005624244761504451
244,544,0.005917097412530976
245,545,0.005879203003259771
246,546,0.005921568148296484
247,547,0.006099032269598497
248,548,0.006025680809274311
249,549,0.0063206193858385065
250,550,0.006378751813048328
251,551,0.006481713268019757
252,552,0.006730031477162165
253,553,0.006653023405446751
254,554,0.0069028695361318644
255,555,0.007064004328311432
256,556,0.007066753507077673
257,557,0.007016167897433053
258,558,0.007296075672259622
259,559,0.00702726991256475
260,560,0.007282182764999999
261,561,0.00784554942178189
262,562,0.007607854706445503
263,563,0.008042925864878392
264,564,0.008033395567434634
265,565,0.00823701345573913
266,566,0.007937685226540344
267,567,0.008623078528604642
268,568,0.008709492914199526
269,569,0.008660897998006943
270,570,0.008836350101161294
271,571,0.008715798258345233
272,572,0.00938637047484537
273,573,0.009614421804308578
274,574,0.009757988644357547
275,575,0.009731172012964896
276,576,0.009847608440663656
277,577,0.010304490297386953
278,578,0.010195391891717163
279,579,0.010559065499351233
280,580,0.010964452680089186
281,581,0.011250063812423336
282,582,0.011667715267138121
283,583,0.012043256373143177
284,584,0.012281240495780466
285,585,0.012450728640288846
286,586,0.01241721421478626
287,587,0.012970922413848934
288,588,0.012960805145245119
289,589,0.011443074550548596
290,590,0.012441890144686427
291,591,0.013611009020354451
292,592,0.013633659325049254
293,593,0.01415178676437022
294,594,0.014412758081385991
295,595,0.01456692488837209
296,596,0.01537002641095889
297,597,0.015783425948823527
298,598,0.015963879372364015
299,599,0.016348360412442586
300,600,0.016913277338002082
301,601,0.01711725828797927
302,602,0.017268125126783856
303,603,0.018065749132275998
304,604,0.01883615550523612
305,605,0.019267577114738973
306,606,0.019648162683469392
307,607,0.0202606928873347
308,608,0.0207022634654361
309,609,0.021061404844666665
310,610,0.021500599938429017
311,611,0.021935581731285143
312,612,0.02283558138759998
313,613,0.023088649861367258
314,614,0.022960862549821083
315,615,0.0244197792294351
316,616,0.024392101317867718
317,617,0.024703246162677172
318,618,0.026301491427674205
