wl,n,k
300,1.3230000000000002,0.647
310,1.3230000000000002,0.647
320,0.7936,0.5338
330,0.3926279070000001,0.792069767
340,0.257659574,1.1276595740000002
350,0.221428571,1.354285714
360,0.196295238,1.533904762
370,0.192745455,1.638909091
380,0.197084746,1.721016949
390,0.1882,1.838
400,0.173,1.95
410,0.173,2.070300752
420,0.166866197,2.1807746480000003
430,0.159509804,2.282875817
440,0.15754902,2.374379085
450,0.151292683,2.470243902
460,0.143457627,2.567231638
470,0.13667796599999998,2.6576271190000003
480,0.131673684,2.746105263
490,0.130621053,2.830315789
500,0.13,2.91763285
510,0.13,3.00942029
520,0.129848889,3.0972
530,0.129404444,3.1772
540,0.128669388,3.257346939
550,0.124995918,3.338979592
560,0.121322449,3.420612245
570,0.120238806,3.500149254
580,0.12061194,3.578507463
590,0.120985075,3.656865672
600,0.124254237,3.73159322
610,0.127644068,3.806169492
620,0.131027523,3.880825688
630,0.133779817,3.963394495
640,0.13653211,4.045963303
650,0.139284404,4.12853211
660,0.14,4.209281768
670,0.14,4.289392265
680,0.14,4.369502762
690,0.14023703699999998,4.448888889
700,0.142212346,4.522962963
710,0.144187654,4.597037037
720,0.146162963,4.671111111
730,0.147923246,4.745372807
740,0.146826754,4.822127193
750,0.145730263,4.898881578999999
760,0.144633772,4.975635965
770,0.143537281,5.052390351000001
780,0.143197292,5.130444874
790,0.143584139,5.209748549
800,0.143970986,5.289052224
810,0.144357834,5.368355899
820,0.144744681,5.4476595739999985
830,0.14603728800000002,5.525932202999999
840,0.149088136,5.60220339
850,0.152138983,5.678474576
860,0.155189831,5.754745763
870,0.158240678,5.831016949
880,0.161291525,5.907288136
890,0.16526138,5.981013216
900,0.170400881,6.051497797000001
910,0.175540382,6.1219823789999985
920,0.180679883,6.19246696
930,0.185819383,6.262951542000001
940,0.190958884,6.333436122999999
950,0.196098385,6.403920705
960,0.200224464,6.474489281
970,0.203755359,6.545107187999999
980,0.207286255,6.615725095
990,0.21081715,6.686343001
1000,0.214348045,6.756960908
1010,0.217878941,6.827578815
1020,0.22140983600000005,6.8981967210000015
1030,0.224940731,6.968814628
1040,0.227861702,7.040638297999999
1050,0.230521277,7.112978723
1060,0.233180851,7.185319149
1070,0.235840426,7.257659574
1080,0.2385,7.33
1090,0.241159574,7.402340426
1100,0.243819149,7.474680851
1110,0.246478723,7.547021277000001
1120,0.249138298,7.619361702000001
1130,0.25307079600000004,7.691769912000001
1140,0.259973451,7.764336283
1150,0.266876106,7.836902655
1160,0.27377876100000004,7.909469027
1170,0.280681416,7.982035398
1180,0.287584071,8.05460177
1190,0.29448672600000003,8.127168142
1200,0.301389381,8.199734513
