wl,n,k
300,0.941,3.65
301,0.941,3.65
302,0.941,3.65
303,0.941,3.65
304,0.941,3.65
305,0.941,3.65
306,0.941,3.65
307,0.941,3.65
308,0.941,3.65
309,0.941,3.65
310,0.941,3.65
311,0.9426,3.6559999999999997
312,0.9441999999999999,3.662
313,0.9458,3.668
314,0.9474,3.674
315,0.9490000000000001,3.6799999999999997
316,0.9506,3.686
317,0.9522,3.692
318,0.9538000000000001,3.698
319,0.9554,3.7039999999999997
320,0.9570000000000001,3.71
321,0.9593,3.718
322,0.9616,3.726
323,0.9639000000000001,3.734
324,0.9662000000000001,3.742
325,0.9685,3.75
326,0.9708,3.758
327,0.9731,3.766
328,0.9754,3.774
329,0.9777,3.782
330,0.98,3.79
331,0.9833,3.799
332,0.9865999999999999,3.808
333,0.9899,3.817
334,0.9932,3.826
335,0.9964999999999999,3.835
336,0.9997999999999999,3.844
337,1.0030999999999999,3.8529999999999998
338,1.0064,3.862
339,1.0096999999999998,3.871
340,1.013,3.88
341,1.0171,3.889
342,1.0211999999999999,3.898
343,1.0252999999999999,3.907
344,1.0293999999999999,3.916
345,1.0335,3.925
346,1.0376,3.934
347,1.0417,3.943
348,1.0458,3.952
349,1.0499,3.9610000000000003
350,1.054,3.97
351,1.0626,3.982
352,1.0712,3.994
353,1.0798,4.006
354,1.0884,4.018
355,1.097,4.03
356,1.1056,4.042
357,1.1141999999999999,4.054
358,1.1228,4.066
359,1.1314,4.078
360,1.14,4.09
361,1.1541,4.0889999999999995
362,1.1682,4.088
363,1.1823,4.087
364,1.1964,4.086
365,1.2105,4.085
366,1.2246,4.084
367,1.2387,4.083
368,1.2528,4.082
369,1.2669,4.081
370,1.281,4.08
371,1.2797999999999998,4.075
372,1.2786,4.07
373,1.2774,4.065
374,1.2762,4.0600000000000005
375,1.275,4.055
376,1.2738,4.05
377,1.2726000000000002,4.045
378,1.2714,4.04
379,1.2702,4.035
380,1.2690000000000001,4.03
381,1.2634,4.034000000000001
