,wl_n,n,wl_k,k
0,305.38,1.728525709328119,304.78,1.0903207174970109
1,324.4,1.7258488397063854,314.71,0.9663188577532901
2,338.9,1.8686643179064075,330.42,1.1780007517442335
3,350.88,2.0541364109686304,346.13,1.3322062376784105
4,360.72,2.268891460040847,363.5,1.2732709231304258
5,367.63,2.469902679388655,391.61,1.0689204777620234
6,382.84,2.60698448285717,408.98,0.8574326839095501
7,401.43,2.660658148252342,427.17,0.7301693022229621
8,420.02,2.652077203550567,445.36,0.6950526860545034
9,438.61,2.625525230935521,463.56,0.7023370869454957
10,457.2,2.6208597070129924,481.75,0.6932955854296902
11,475.79,2.6534056191427156,499.94,0.637794519399952
12,494.38,2.706222401153885,518.13,0.5451823602258535
13,512.97,2.763049464976155,536.33,0.4498976368799132
14,531.56,2.787705528188991,554.52,0.37507034264033867
15,550.15,2.7740190217669314,572.71,0.3033958058127231
16,568.74,2.741769583749871,590.9,0.2578157085173503
17,587.33,2.6995998269534076,609.1,0.2291338844949576
18,605.92,2.6584539139195797,627.29,0.20769010289894843
19,624.51,2.6249933804891805,645.48,0.19262582368797165
20,643.1,2.5956051633564923,663.67,0.1871133992623225
21,661.69,2.5679579667607264,681.87,0.18763505359730784
22,680.28,2.548295011698946,700.06,0.1870621395533745
23,698.87,2.5452946243791743,718.25,0.17677355034976308
24,717.46,2.5593340899627144,736.44,0.15216416321725498
25,736.05,2.57500422531467,754.64,0.11476229712041588
26,754.64,2.576222077352903,772.83,0.07302284407977203
27,773.23,2.551095765627708,786.89,0.03704673635765005
28,791.82,2.5012348218635374,797.92,0.013530540878034066
29,810.41,2.441351645245313,810.41,0.0026103910815591354
30,829.0,2.3893171168730203,829.0,0.0003109872899680118
31,847.59,2.35774512002999,847.59,0.00048553271379839994
32,866.18,2.3453048935309195,866.18,-0.00037105381488968946
33,884.77,2.3396409253131085,884.77,-0.0006778837036648988
34,903.36,2.332228740500627,903.36,0.0005322218486784396
35,921.95,2.3216349421276257,921.95,0.0007976777567790547
36,940.54,2.3125331278442816,940.54,-0.000871926457508757
37,959.13,2.30604693824045,959.13,-0.00013975502864671432
38,977.72,2.299996860612266,977.72,0.00039838619228713
39,996.31,2.294588667506308,996.31,-0.0001137498911765295
40,1014.9,2.289977917398285,1014.9,0.0
41,1033.5,2.285324522087824,1033.5,0.0
42,1052.1,2.2808554119668334,1052.1,0.0
43,1070.7,2.2755506041039846,1070.7,0.0
44,1089.3,2.2714061350689327,1089.3,0.0
45,1107.9,2.267712013431925,1107.9,0.0
46,1126.4,2.2654443458222895,1126.4,0.0
47,1145.0,2.2641797126716003,1145.0,0.0
48,1163.6,2.262689549518323,1163.6,0.0
49,1182.2,2.259776976369095,1182.2,0.0
50,1200.8,2.2554088894318007,1200.8,0.0
51,1219.4,2.251201560248093,1219.4,0.0
52,1238.0,2.249310285177222,1238.0,0.0
53,1256.6,2.249775659347269,1256.6,0.0
54,1275.2,2.249056286215707,1275.2,0.0
55,1293.8,2.247626753639882,1293.8,0.0
