Wavelength (nm),n,k
2.800000000000000000e+02,1.579385999999999957e+00,7.962384999999999602e-01
2.810000000000000000e+02,1.582266000000000172e+00,8.010397500000000504e-01
2.820000000000000000e+02,1.586881500000000056e+00,8.055200000000000138e-01
2.830000000000000000e+02,1.592090600000000133e+00,8.100738666666666976e-01
2.840000000000000000e+02,1.597938599999999987e+00,8.152432000000000567e-01
2.850000000000000000e+02,1.601765437500000111e+00,8.185794375000000622e-01
2.860000000000000000e+02,1.604951687500000057e+00,8.212014375000000754e-01
2.870000000000000000e+02,1.610168562499999956e+00,8.244658124999999504e-01
2.880000000000000000e+02,1.614499187499999877e+00,8.280745624999999999e-01
2.890000000000000000e+02,1.617943562500000043e+00,8.320276875000000016e-01
2.900000000000000000e+02,1.621827249999999943e+00,8.339552500000000368e-01
2.910000000000000000e+02,1.625152249999999965e+00,8.361345624999999560e-01
2.920000000000000000e+02,1.627059749999999916e+00,8.394264375000000111e-01
2.930000000000000000e+02,1.629804625000000007e+00,8.417265000000000441e-01
2.940000000000000000e+02,1.632811937500000088e+00,8.436416249999999506e-01
2.950000000000000000e+02,1.634951312499999920e+00,8.459178750000000413e-01
2.960000000000000000e+02,1.637340999999999935e+00,8.493147500000000072e-01
2.970000000000000000e+02,1.639980999999999911e+00,8.538322500000000703e-01
2.980000000000000000e+02,1.642171000000000047e+00,8.573931999999999665e-01
2.990000000000000000e+02,1.644848749999999971e+00,8.607627499999999099e-01
3.000000000000000000e+02,1.648333124999999955e+00,8.640046249999999706e-01
3.010000000000000000e+02,1.649591000000000030e+00,8.679689999999999905e-01
3.020000000000000000e+02,1.650852125000000115e+00,8.717762499999999193e-01
3.030000000000000000e+02,1.654352750000000150e+00,8.742324999999999680e-01
3.040000000000000000e+02,1.656747125000000098e+00,8.776153749999999754e-01
3.050000000000000000e+02,1.658403999999999989e+00,8.816159999999999553e-01
3.060000000000000000e+02,1.659991500000000064e+00,8.855197500000000499e-01
3.070000000000000000e+02,1.662252749999999946e+00,8.898885000000000822e-01
3.080000000000000000e+02,1.665524624999999981e+00,8.949547500000000211e-01
3.090000000000000000e+02,1.666806500000000080e+00,9.000785000000000036e-01
3.100000000000000000e+02,1.668345625000000165e+00,9.048936250000000348e-01
3.110000000000000000e+02,1.672903750000000134e+00,9.084167499999999951e-01
3.120000000000000000e+02,1.676096200000000147e+00,9.116836000000000384e-01
3.130000000000000000e+02,1.678369500000000070e+00,9.149576875000000609e-01
3.140000000000000000e+02,1.680564500000000017e+00,9.198345624999999526e-01
3.150000000000000000e+02,1.684296687500000056e+00,9.242336250000000586e-01
3.160000000000000000e+02,1.689566062499999965e+00,9.281548750000000458e-01
3.170000000000000000e+02,1.693462937500000098e+00,9.328130000000000033e-01
3.180000000000000000e+02,1.697312874999999943e+00,9.377219374999999912e-01
3.190000000000000000e+02,1.701409125000000078e+00,9.430250625000000664e-01
3.200000000000000000e+02,1.705068312500000127e+00,9.471377500000000005e-01
3.210000000000000000e+02,1.708509250000000090e+00,9.507826875000000566e-01
3.220000000000000000e+02,1.711671750000000047e+00,9.548095624999999309e-01
3.230000000000000000e+02,1.715291750000000004e+00,9.589204999999999535e-01
3.240000000000000000e+02,1.719369249999999960e+00,9.631155000000000133e-01
