wl,n,k
300,1.77228,0.13524
302,1.77156,0.13173
304,1.77081,0.12828
306,1.77002,0.12488
308,1.76919,0.12154
310,1.76832,0.11825
312,1.76743,0.11501
314,1.7665,0.11182
316,1.76553,0.10869
318,1.76454,0.10561
320,1.76352,0.10257
322,1.76247,0.09959
324,1.76139,0.09666
326,1.76029,0.09378
328,1.75916,0.09095
330,1.758,0.08817
332,1.75682,0.08544
334,1.75562,0.08276
336,1.7544,0.08013
338,1.75316,0.07755
340,1.75189,0.07501
342,1.75061,0.07253
344,1.74931,0.07009
346,1.74799,0.0677
348,1.74665,0.06535
350,1.7453,0.06305
352,1.74393,0.0608
354,1.74255,0.0586
356,1.74115,0.05644
358,1.73975,0.05432
360,1.73832,0.05225
362,1.73689,0.05023
364,1.73545,0.04825
366,1.73399,0.04632
368,1.73253,0.04442
370,1.73106,0.04258
372,1.72958,0.04077
374,1.72809,0.03901
376,1.72659,0.0373
378,1.72509,0.03562
380,1.72358,0.03399
382,1.72207,0.0324
384,1.72055,0.03085
386,1.71903,0.02934
388,1.71751,0.02788
390,1.71598,0.02645
392,1.71445,0.02507
394,1.71292,0.02372
396,1.71139,0.02242
398,1.70986,0.02115
400,1.70833,0.01993
402,1.7068,0.01874
404,1.70528,0.01759
406,1.70375,0.01649
408,1.70223,0.01542
410,1.70071,0.01438
412,1.69919,0.01339
414,1.69768,0.01244
416,1.69618,0.01152
418,1.69468,0.01064
420,1.69318,0.00979
422,1.69169,0.00898
424,1.69022,0.00821
426,1.68874,0.00748
428,1.68728,0.00678
430,1.68583,0.00612
432,1.68439,0.00549
434,1.68296,0.0049
436,1.68154,0.00434
438,1.68013,0.00382
440,1.67874,0.00333
442,1.67736,0.00288
444,1.67599,0.00246
446,1.67464,0.00207
448,1.67331,0.00172
450,1.67199,0.0014
452,1.6707,0.00112
454,1.66942,0.000866
456,1.66817,0.000646
458,1.66694,0.000459
460,1.66573,0.000304
462,1.66455,0.000181
464,1.6634,0.00009
466,1.66228,0.000031
468,1.6612,0.000003
470,1.66017,0
472,1.6592,0
474,1.65825,0
476,1.65734,0
478,1.65646,0
480,1.6556,0
482,1.65477,0
484,1.65396,0
486,1.65317,0
488,1.6524,0
490,1.65165,0
492,1.65091,0
494,1.6502,0
496,1.64949,0
498,1.64881,0
500,1.64814,0
502,1.64748,0
504,1.64684,0
506,1.64621,0
508,1.64559,0
510,1.64498,0
512,1.64439,0
514,1.64381,0
516,1.64323,0
518,1.64267,0
520,1.64212,0
522,1.64158,0
524,1.64105,0
526,1.64053,0
528,1.64002,0
530,1.63951,0
532,1.63902,0
534,1.63853,0
536,1.63805,0
538,1.63758,0
540,1.63712,0
542,1.63666,0
544,1.63621,0
546,1.63577,0
548,1.63534,0
550,1.63491,0
552,1.63449,0
554,1.63408,0
556,1.63367,0
558,1.63327,0
560,1.63287,0
562,1.63248,0
564,1.6321,0
566,1.63172,0
568,1.63135,0
570,1.63098,0
572,1.63062,0
574,1.63026,0
576,1.62991,0
578,1.62956,0
580,1.62922,0
582,1.62888,0
584,1.62855,0
586,1.62822,0
588,1.62789,0
590,1.62757,0
592,1.62726,0
594,1.62695,0
596,1.62664,0
598,1.62634,0
600,1.62604,0
602,1.62574,0
604,1.62545,0
606,1.62516,0
608,1.62488,0
610,1.6246,0
612,1.62432,0
614,1.62405,0
616,1.62378,0
618,1.62351,0
620,1.62325,0
622,1.62298,0
624,1.62273,0
626,1.62247,0
628,1.62222,0
630,1.62197,0
632,1.62173,0
634,1.62149,0
636,1.62125,0
638,1.62101,0
640,1.62078,0
642,1.62054,0
644,1.62032,0
646,1.62009,0
648,1.61987,0
650,1.61965,0
652,1.61943,0
654,1.61921,0
656,1.619,0
658,1.61879,0
660,1.61858,0
662,1.61837,0
664,1.61817,0
666,1.61796,0
668,1.61777,0
670,1.61757,0
672,1.61737,0
674,1.61718,0
676,1.61699,0
678,1.6168,0
680,1.61661,0
682,1.61643,0
684,1.61624,0
686,1.61606,0
688,1.61588,0
690,1.6157,0
692,1.61553,0
694,1.61535,0
696,1.61518,0
698,1.61501,0
700,1.61484,0
702,1.61467,0
704,1.61451,0
706,1.61434,0
708,1.61418,0
710,1.61402,0
712,1.61386,0
714,1.6137,0
716,1.61355,0
718,1.6134,0
720,1.61324,0
722,1.61309,0
724,1.61294,0
726,1.61279,0
728,1.61265,0
730,1.6125,0
732,1.61236,0
734,1.61221,0
736,1.61207,0
738,1.61193,0
740,1.61179,0
742,1.61165,0
744,1.61152,0
746,1.61138,0
748,1.61125,0
750,1.61111,0
752,1.61098,0
754,1.61085,0
756,1.61073,0
758,1.6106,0
760,1.61047,0
762,1.61035,0
764,1.61022,0
766,1.6101,0
768,1.60997,0
770,1.60985,0
772,1.60973,0
774,1.60961,0
776,1.6095,0
778,1.60938,0
780,1.60926,0
782,1.60915,0
784,1.60904,0
786,1.60892,0
788,1.60881,0
790,1.6087,0
792,1.60859,0
794,1.60848,0
796,1.60837,0
798,1.60826,0
800,1.60816,0
802,1.60805,0
804,1.60795,0
806,1.60784,0
808,1.60774,0
810,1.60764,0
812,1.60754,0
814,1.60744,0
816,1.60734,0
818,1.60724,0
820,1.60714,0
822,1.60704,0
824,1.60695,0
826,1.60685,0
828,1.60676,0
830,1.60666,0
832,1.60657,0
834,1.60648,0
836,1.60639,0
838,1.6063,0
840,1.60621,0
842,1.60612,0
844,1.60603,0
846,1.60594,0
848,1.60585,0
850,1.60576,0
852,1.60568,0
854,1.60559,0
856,1.60551,0
858,1.60542,0
860,1.60534,0
862,1.60526,0
864,1.60518,0
866,1.60509,0
868,1.60501,0
870,1.60493,0
872,1.60485,0
874,1.60477,0
876,1.6047,0
878,1.60462,0
880,1.60454,0
882,1.60446,0
884,1.60439,0
886,1.60431,0
888,1.60424,0
890,1.60416,0
892,1.60409,0
894,1.60401,0
896,1.60394,0
898,1.60387,0
900,1.6038,0
902,1.60372,0
904,1.60365,0
906,1.60358,0
908,1.60351,0
910,1.60345,0
912,1.60338,0
914,1.60331,0
916,1.60324,0
918,1.60317,0
920,1.60311,0
922,1.60304,0
924,1.60297,0
926,1.60291,0
928,1.60284,0
930,1.60278,0
932,1.60271,0
934,1.60265,0
936,1.60259,0
938,1.60253,0
940,1.60246,0
942,1.6024,0
944,1.60234,0
946,1.60228,0
948,1.60222,0
950,1.60216,0
952,1.6021,0
954,1.60204,0
956,1.60198,0
958,1.60192,0
960,1.60186,0
962,1.6018,0
964,1.60175,0
966,1.60169,0
968,1.60163,0
970,1.60158,0
972,1.60152,0
974,1.60147,0
976,1.60141,0
978,1.60136,0
980,1.6013,0
982,1.60125,0
984,1.60119,0
986,1.60114,0
988,1.60109,0
990,1.60103,0
992,1.60098,0
994,1.60093,0
996,1.60088,0
998,1.60083,0
1000,1.60078,0
1002,1.60073,0
1004,1.60067,0
1006,1.60063,0
1008,1.60058,0
1010,1.60053,0
1012,1.60048,0
1014,1.60043,0
1016,1.60038,0
1018,1.60033,0
1020,1.60028,0
1022,1.60024,0
1024,1.60019,0
1026,1.60014,0
1028,1.6001,0
1030,1.60005,0
1032,1.6,0
1034,1.59996,0
1036,1.59991,0
1038,1.59987,0
1040,1.59982,0
1042,1.59978,0
1044,1.59973,0
1046,1.59969,0
1048,1.59964,0
1050,1.5996,0
1052,1.59956,0
1054,1.59951,0
1056,1.59947,0
1058,1.59943,0
1060,1.59939,0
1062,1.59934,0
1064,1.5993,0
1066,1.59926,0
1068,1.59922,0
1070,1.59918,0
1072,1.59914,0
1074,1.5991,0
1076,1.59906,0
1078,1.59902,0
1080,1.59898,0
1082,1.59894,0
1084,1.5989,0
1086,1.59886,0
1088,1.59882,0
1090,1.59878,0
1092,1.59874,0
1094,1.5987,0
1096,1.59867,0
1098,1.59863,0
1100,1.59859,0
