wl,n,k
300,0.92,3.63
310,0.941,3.65
320,0.957,3.71
330,0.98,3.79
340,1.013,3.88
350,1.054,3.97
360,1.14,4.09
370,1.281,4.08
380,1.269,4.03
390,1.213,4.07
400,1.178,4.15
410,1.161,4.24
420,1.15,4.33
430,1.147,4.43
440,1.15,4.53
450,1.157,4.63
460,1.167,4.73
470,1.18,4.83
480,1.195,4.94
490,1.213,5.04
500,1.232,5.14
510,1.254,5.24
520,1.277,5.34
530,1.303,5.45
540,1.331,5.54
550,1.362,5.65
560,1.396,5.75
570,1.431,5.85
580,1.467,5.94
590,1.507,6.03
600,1.547,6.13
610,1.584,6.22
620,1.626,6.32
630,1.672,6.41
640,1.717,6.49
650,1.763,6.58
660,1.816,6.67
670,1.867,6.76
680,1.928,6.85
690,1.99,6.94
700,2.056,7.01
710,2.137,7.09
720,2.228,7.17
730,2.321,7.24
740,2.425,7.26
750,2.53,7.28
760,2.605,7.27
770,2.683,7.26
780,2.75,7.23
790,2.806,7.18
800,2.862,7.13
810,2.844,7.09
820,2.826,7.04
830,2.792,7
840,2.744,6.97
850,2.696,6.94
860,2.629,6.92
870,2.543,6.91
880,2.445,6.92
890,2.335,6.95
900,2.227,7.01
910,2.136,7.07
920,2.041,7.13
930,1.938,7.23
940,1.842,7.36
950,1.746,7.49
960,1.714,7.63
970,1.691,7.75
980,1.67,7.87
990,1.647,7.99
1000,1.625,8.09
1010,1.602,8.19
1020,1.579,8.3
1030,1.556,8.41
1040,1.541,8.52
1050,1.532,8.63
1060,1.522,8.74
1070,1.512,8.86
1080,1.504,8.97
1090,1.502,9.07
1100,1.5,9.17
1110,1.497,9.28
1120,1.495,9.38
1130,1.494,9.48
1140,1.495,9.57
1150,1.497,9.67
1160,1.498,9.76
1170,1.499,9.86
1180,1.501,9.95
1190,1.5,10
1200,1.5,10.1
