"# SETFOS, Semiconducting Thin Film Optics Simulator",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Parameter file:    C:\Users\Deniz\Documents\Setfos\workspace\PoSiT.parx,,,,,,,,,,,,,,,,,
# Host name:         DESKTOP-H9RHCC3,,,,,,,,,,,,,,,,,
# Operating system:  Windows_NT,,,,,,,,,,,,,,,,,
# User:              Deniz,,,,,,,,,,,,,,,,,
# Time of execution: Wed Aug 19 06:55:13 2020,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# CPU time elapsed: 30.13 s,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Wavelength(nm),R(),T(),A(),R.s(),T.s(),A.s(),R.p(),T.p(),A.p(),haze_ref(),A_unpol(),ITO_Top.A(),SnOx.A(),PSK.A(),HTL.A(),ITO_Bot.A(),Si_2.A()
3.00E+02,7.90E-03,0.00E+00,9.92E-01,7.90E-03,0.00E+00,9.92E-01,7.90E-03,0.00E+00,9.92E-01,1.00E+00,9.92E-01,4.34E-01,3.96E-02,5.19E-01,1.76E-09,5.80E-10,0.00E+00
3.15E+02,5.73E-03,0.00E+00,9.94E-01,5.73E-03,0.00E+00,9.94E-01,5.73E-03,0.00E+00,9.94E-01,1.00E+00,9.94E-01,1.86E-01,3.23E-02,7.76E-01,7.49E-11,9.22E-12,0.00E+00
3.30E+02,3.31E-02,0.00E+00,9.67E-01,3.31E-02,0.00E+00,9.67E-01,3.31E-02,0.00E+00,9.67E-01,1.00E+00,9.67E-01,5.34E-02,1.88E-02,8.95E-01,1.11E-11,3.84E-13,0.00E+00
3.45E+02,6.97E-02,0.00E+00,9.30E-01,6.97E-02,0.00E+00,9.30E-01,6.97E-02,0.00E+00,9.30E-01,1.00E+00,9.30E-01,9.55E-03,1.12E-02,9.10E-01,1.20E-11,7.66E-14,0.00E+00
3.60E+02,8.35E-02,0.00E+00,9.17E-01,8.35E-02,0.00E+00,9.17E-01,8.35E-02,0.00E+00,9.17E-01,1.00E+00,9.17E-01,0.00E+00,7.41E-03,9.09E-01,9.73E-11,0.00E+00,0.00E+00
3.75E+02,7.83E-02,0.00E+00,9.22E-01,7.83E-02,0.00E+00,9.22E-01,7.83E-02,0.00E+00,9.22E-01,1.00E+00,9.22E-01,0.00E+00,5.19E-03,9.17E-01,2.34E-09,0.00E+00,8.30E-06
3.90E+02,6.67E-02,0.00E+00,9.33E-01,6.67E-02,0.00E+00,9.33E-01,6.67E-02,0.00E+00,9.33E-01,1.00E+00,9.33E-01,0.00E+00,3.86E-03,9.29E-01,3.72E-08,0.00E+00,0.00E+00
4.05E+02,5.43E-02,0.00E+00,9.46E-01,5.43E-02,0.00E+00,9.46E-01,5.43E-02,0.00E+00,9.46E-01,1.00E+00,9.46E-01,0.00E+00,2.99E-03,9.43E-01,1.72E-07,0.00E+00,0.00E+00
4.20E+02,4.45E-02,0.00E+00,9.55E-01,4.45E-02,0.00E+00,9.55E-01,4.45E-02,0.00E+00,9.55E-01,1.00E+00,9.55E-01,0.00E+00,2.37E-03,9.53E-01,1.60E-07,0.00E+00,0.00E+00
4.35E+02,3.76E-02,0.00E+00,9.62E-01,3.76E-02,0.00E+00,9.62E-01,3.76E-02,0.00E+00,9.62E-01,1.00E+00,9.62E-01,0.00E+00,1.91E-03,9.60E-01,5.69E-08,0.00E+00,1.96E-06
