wavelength	n	k
300	1.61783946	1.92591542
310	1.65423659	1.93079422
320	1.68172004	1.92480464
330	1.69212673	1.91224392
340	1.68363206	1.8968735
350	1.65736939	1.89665208
360	1.63126096	1.92356822
370	1.61569793	1.95201259
380	1.60767985	1.97413747
390	1.60518794	1.99180722
400	1.59915947	1.99984804
410	1.58698287	2.00174335
420	1.56953206	2.00233117
430	1.54514587	1.99683745
440	1.51356155	1.9862035
450	1.47044934	1.96776892
460	1.41125099	1.94435033
470	1.32913574	1.91877424
480	1.21296262	1.9001494
490	1.06656637	1.90987639
500	0.906704742	1.96228634
510	0.761291669	2.06346006
520	0.639418671	2.19935212
530	0.554638906	2.33304055
540	0.487291101	2.46412886
550	0.434403561	2.59213465
560	0.391020095	2.71722435
570	0.355549579	2.83576007
580	0.325333725	2.95416074
590	0.298993077	3.0684205
600	0.277677889	3.18419893
610	0.258734449	3.29545101
620	0.24134197	3.40146254
630	0.226579103	3.50765886
640	0.215667805	3.6145369
650	0.204666045	3.7188903
660	0.19636131	3.82142006
670	0.189107572	3.92236834
680	0.184643121	4.02355566
690	0.178887146	4.12044518
700	0.17674719	4.21775367
710	0.175831732	4.31214755
720	0.175549525	4.40493828
730	0.176358218	4.49879233
740	0.1777416	4.58950938
750	0.179043511	4.68265772
760	0.180860178	4.7718728
770	0.181949436	4.85748775
780	0.185046347	4.94759841
790	0.185339889	5.03345022
800	0.187064345	5.11763898
810	0.189520204	5.20375303
820	0.195110208	5.29776872
830	0.193744024	5.36890621
840	0.197930018	5.45611436
850	0.199790075	5.53437366
860	0.205244053	5.62676185
870	0.211010171	5.71407507
880	0.21395881	5.79490053
890	0.212656461	5.86492403
900	0.216331153	5.94469408
910	0.21935199	6.02396629
920	0.22414654	6.1067325
930	0.229797483	6.19229508
940	0.232607781	6.26902542
950	0.23704489	6.34934485
960	0.240509086	6.4268699
970	0.246718218	6.51125502
980	0.250438281	6.58872086
990	0.256576978	6.6715479
1000	0.25655369	6.7375508
1010	0.263584649	6.82234694
1020	0.2646218	6.88818953
1030	0.278585592	6.99872749
1040	0.283963428	7.07749835
1050	0.288391969	7.15927066
1060	0.290576756	7.22900595
1070	0.298268038	7.3147441
1080	0.305740907	7.3978619
1090	0.304288195	7.46163467
1100	0.310787119	7.54735399
1110	0.320585844	7.62961479
1120	0.323817758	7.69623412
1130	0.331362368	7.7764131
1140	0.335643765	7.8573744
1150	0.33826523	7.93288949
1160	0.343892181	8.01004551
1170	0.353740945	8.09674549
1180	0.354434494	8.16187979
1190	0.36030252	8.2383744
1200	0.367462172	8.31567714
1210	0.368502468	8.39484412
1220	0.379622097	8.46861541
1230	0.385832929	8.54408328
1240	0.391271341	8.62159475
1250	0.397540274	8.69773375
1260	0.406180459	8.78292039
1270	0.404675711	8.8452797
1280	0.410182453	8.91774497
1290	0.41846701	8.99823878
1300	0.427119383	9.07652745
1310	0.43347882	9.15066735
1320	0.438702623	9.22615887
1330	0.444799144	9.29992841
1340	0.453582764	9.37777243
1350	0.461846521	9.45103501
1360	0.469203894	9.52740543
1370	0.474751914	9.59985306
1380	0.481276075	9.67287427
1390	0.48886687	9.74728119
1400	0.492746002	9.8268533
1410	0.504031585	9.90114802
1420	0.510780248	9.97408648
1430	0.510288532	10.0403904
1440	0.519775692	10.116375
1450	0.527035273	10.1898781
1460	0.532867313	10.2687343
1470	0.544649492	10.3476553
1480	0.547589218	10.4094155
1490	0.555481749	10.4799791
1500	0.558814908	10.5633678
1510	0.57128982	10.6300872
1520	0.578929627	10.7110355
1530	0.584512947	10.7752519
1540	0.593974095	10.8621738
1550	0.595768292	10.9226244
1560	0.604615236	11.0007124
1570	0.608956178	11.0750847
1580	0.618540012	11.1508136
1590	0.62976668	11.2207716
1600	0.643011418	11.2975389
1610	0.646509141	11.3684578
1620	0.654064212	11.4508738
1630	0.66001648	11.526675
1640	0.669719247	11.6016693
1650	0.676406022	11.6721402
1660	0.690263603	11.7392467
1670	0.698898482	11.8193879
1680	0.702935018	11.8848169
1690	0.705036798	11.9494043
1700	0.727437326	12.0213473
1710	0.725509695	12.0962452
1720	0.734958354	12.177221
1730	0.742519492	12.2437827
1740	0.748727421	12.309308
1750	0.753407718	12.378775
1760	0.760841931	12.4554859
1770	0.769842834	12.5281773
1780	0.777584532	12.6011156
1790	0.786724744	12.6721867
1800	0.795400415	12.7429019
1810	0.809131832	12.8201888
1820	0.814552818	12.8898472
1830	0.82060085	12.9535926
1840	0.828590025	13.0232969
1850	0.838228471	13.0928779
1860	0.844166212	13.1557882
1870	0.852370186	13.2310206
1880	0.864016715	13.3065992
1890	0.870248673	13.3677447
1900	0.888674006	13.4665863
1910	0.900940666	13.5411184
1920	0.911992415	13.6112341
1930	0.918093169	13.685776
1940	0.926388921	13.7622216
1950	0.93614448	13.834178
1960	0.942111589	13.9061232
1970	0.950296795	13.9809941
1980	0.960693627	14.0482626
1990	0.972762005	14.1252331
2000	0.982293583	14.1969217
