wavelength	n	k
29.9919	0.925222	0.121265
30.1236	0.924148	0.121903
30.2558	0.922739	0.122539
30.3887	0.921308	0.124188
30.5221	0.920206	0.125917
30.656	0.919301	0.127636
30.7906	0.918523	0.129346
30.9258	0.917841	0.131045
31.0616	0.917236	0.132734
31.1979	0.916696	0.134413
31.3349	0.916211	0.136081
31.4724	0.915775	0.137738
31.6106	0.915383	0.139383
31.7494	0.915031	0.141018
31.8887	0.914714	0.142641
32.0287	0.91443	0.144252
32.1693	0.914176	0.145852
32.3105	0.91395	0.147439
32.4524	0.913749	0.149015
32.5948	0.913572	0.150578
32.7379	0.913417	0.152128
32.8817	0.913282	0.153666
33.026	0.913166	0.155192
33.171	0.913068	0.156705
33.3166	0.912986	0.158205
33.4629	0.912919	0.159691
33.6098	0.912866	0.161165
33.7573	0.912826	0.162626
33.9055	0.912798	0.164073
34.0543	0.91278	0.165507
34.2038	0.912773	0.166928
34.354	0.912774	0.168335
34.5048	0.912782	0.169729
34.6563	0.912798	0.171108
34.8084	0.91282	0.172474
34.9612	0.912848	0.173826
35.1147	0.912879	0.175164
35.2688	0.912914	0.176488
35.4237	0.912952	0.177797
35.5792	0.912992	0.179092
35.7354	0.913032	0.180373
35.8922	0.913073	0.181638
36.0498	0.913113	0.18289
36.208	0.913151	0.184126
36.367	0.913187	0.185347
36.5266	0.91322	0.186552
36.687	0.913249	0.187742
36.848	0.913273	0.188917
37.0098	0.91329	0.190076
37.1723	0.913301	0.191218
37.3355	0.913304	0.192344
37.4994	0.913298	0.193454
37.664	0.913282	0.194547
37.8293	0.913256	0.195622
37.9954	0.913217	0.19668
38.1622	0.913165	0.19772
38.3297	0.913099	0.198742
38.498	0.913018	0.199746
38.667	0.912919	0.20073
38.8367	0.912803	0.201694
39.0072	0.912667	0.202638
39.1784	0.912509	0.203561
39.3504	0.912329	0.204462
39.5232	0.912124	0.205341
39.6967	0.911892	0.206197
39.8709	0.911631	0.207028
40.046	0.911338	0.207833
40.2218	0.911008	0.208611
40.3983	0.910638	0.209358
40.5757	0.910215	0.210073
40.7538	0.909729	0.210773
40.9327	0.909201	0.211506
41.1124	0.90865	0.212223
41.2929	0.908066	0.212913
41.4742	0.907445	0.213575
41.6562	0.906781	0.214204
41.8391	0.906068	0.214797
42.0228	0.905303	0.215351
42.2072	0.90448	0.215863
42.3925	0.903592	0.216329
42.5786	0.902633	0.216745
42.7655	0.901596	0.217104
42.9533	0.900471	0.217403
43.1418	0.899248	0.217633
43.3312	0.897915	0.217786
43.5214	0.896456	0.217852
43.7125	0.894851	0.217816
43.9044	0.893073	0.217661
44.0971	0.89108	0.217359
44.2907	0.888807	0.21687
44.4851	0.886119	0.216115
44.6804	0.882553	0.214887
44.8766	0.878348	0.215072
45.0736	0.874226	0.215889
45.2714	0.870237	0.216823
45.4702	0.866251	0.217699
45.6698	0.862125	0.218403
45.8703	0.85764	0.218791
46.0716	0.852194	0.21854
46.2739	0.845459	0.219177
46.477	0.838358	0.222152
46.6811	0.831821	0.22628
46.886	0.825903	0.230786
47.0918	0.820443	0.235449
47.2985	0.815318	0.240155
47.5062	0.810427	0.244826
47.7147	0.80568	0.249392
47.9242	0.800983	0.253783
48.1346	0.796222	0.257913
48.3459	0.791246	0.261662
48.5581	0.785807	0.264841
48.7713	0.779386	0.267079
48.9854	0.770125	0.267319
49.2004	0.757826	0.271658
49.4164	0.745432	0.281446
49.6333	0.734677	0.293601
49.8512	0.725503	0.306861
50.0701	0.717622	0.320765
50.2899	0.710787	0.335065
50.5106	0.704736	0.349557
50.7324	0.698967	0.363928
50.9551	0.69219	0.378138
51.1788	0.686577	0.399372
51.4034	0.685944	0.422188
51.6291	0.686235	0.436463
51.8557	0.683942	0.453521
52.0834	0.684162	0.478656
52.312	0.689812	0.502338
52.5417	0.697947	0.521008
52.7723	0.706307	0.537604
53.004	0.714735	0.553337
53.2367	0.723456	0.5687
53.4704	0.73293	0.584091
53.7051	0.743658	0.598995
53.9409	0.755311	0.611902
54.1777	0.767008	0.622974
54.4155	0.778405	0.633135
54.6544	0.789569	0.642653
54.8943	0.800562	0.651655
55.1353	0.811426	0.660221
55.3773	0.822196	0.668406
55.6204	0.832896	0.676253
