wl,n,k
300,2.023602985,0.027752537
301,2.023602985,0.027752537
302,2.023602985,0.027752537
303,2.023602985,0.027752537
304,2.023602985,0.027752537
305,2.023602985,0.027752537
306,2.023602985,0.027752537
307,2.023602985,0.027752537
308,2.023602985,0.027752537
309,2.023602985,0.027752537
310,2.023602985,0.027752537
311,2.022211791,0.0272596549
312,2.020820597,0.0267667728
313,2.019429403,0.0262738907
314,2.018038209,0.025781008600000002
315,2.016647015,0.0252881265
316,2.015255821,0.0247952444
317,2.013864627,0.0243023623
318,2.012473433,0.0238094802
319,2.011082239,0.023316598100000002
320,2.009691045,0.022823716
321,2.0084238807999997,0.0224129369
322,2.0071567166,0.0220021578
323,2.0058895523999998,0.0215913787
324,2.0046223882,0.021180599600000002
325,2.003355224,0.0207698205
326,2.0020880598,0.0203590414
327,2.0008208956,0.019948262300000002
328,1.9995537314,0.0195374832
329,1.9982865672,0.019126704100000003
330,1.9970194030000001,0.018715925
331,1.9958823881,0.018383657900000003
332,1.9947453732000002,0.0180513908
333,1.9936083583000002,0.0177191237
334,1.9924713434,0.0173868566
335,1.9913343285000003,0.0170545895
336,1.9901973136000002,0.0167223224
337,1.9890602987000001,0.016390055299999998
338,1.9879232838,0.0160577882
339,1.9867862689000002,0.0157255211
340,1.9856492540000001,0.015393253999999999
341,1.9845961196000002,0.015116189799999999
342,1.9835429852000002,0.0148391256
343,1.9824898508000002,0.0145620614
344,1.9814367164000002,0.0142849972
345,1.980383582,0.014007933
346,1.9793304476,0.0137308688
347,1.9782773132,0.013453804599999999
348,1.9772241788,0.0131767404
349,1.9761710444,0.0128996762
350,1.97511791,0.012622612
351,1.9741602981,0.0123978987
352,1.9732026862,0.0121731854
353,1.9722450743,0.0119484721
354,1.9712874624,0.0117237588
355,1.9703298505,0.0114990455
356,1.9693722385999999,0.0112743322
357,1.9684146267,0.0110496189
358,1.9674570148,0.0108249056
359,1.9664994029,0.0106001923
360,1.965541791,0.010375479
361,1.9646671641,0.0101884163
362,1.9637925372,0.0100013536
363,1.9629179102999998,0.0098142909
364,1.9620432834,0.0096272282
365,1.9611686565,0.0094401655
366,1.9602940296,0.0092531028
367,1.9594194027,0.0090660401
368,1.9585447757999999,0.0088789774
369,1.9576701489,0.008691914700000001
370,1.956795522,0.008504852
371,1.9559880593999999,0.008353286100000001
372,1.9551805968,0.0082017202
373,1.9543731342,0.008050154300000001
374,1.9535656716,0.0078985884
375,1.952758209,0.007747022500000001
376,1.9519507463999999,0.0075954566
377,1.9511432838,0.0074438907000000006
378,1.9503358212,0.0072923248000000005
379,1.9495283586,0.0071407589
380,1.948720896,0.006989193
381,1.9479773139,0.0068636543
382,1.9472337318,0.0067381156000000005
383,1.9464901497,0.0066125769
384,1.9457465675999999,0.006487038200000001
385,1.9450029855,0.0063614995
386,1.9442594034,0.006235960800000001
387,1.9435158213,0.0061104221
388,1.9427722392,0.0059848834
389,1.9420286570999998,0.0058593447000000005
390,1.941285075,0.005733806
391,1.9406023883999999,0.0056326253
392,1.9399197017999998,0.0055314446
393,1.9392370152,0.0054302639
394,1.9385543286,0.0053290832
395,1.937871642,0.0052279025
396,1.9371889554,0.0051267218
397,1.9365062687999999,0.0050255411
398,1.9358235822,0.0049243604
399,1.9351408956,0.0048231797
400,1.934458209,0.004721999
401,1.9338188060000001,0.0046390178
402,1.933179403,0.0045560366000000005
403,1.93254,0.0044730554
404,1.931900597,0.0043900742
405,1.9312611940000002,0.004307093
406,1.930621791,0.0042241118
407,1.929982388,0.0041411306
408,1.9293429850000001,0.0040581494
409,1.9287035820000002,0.0039751682
410,1.9280641790000002,0.003892187
411,1.9274752238000001,0.0038260811
412,1.9268862686000001,0.0037599752
413,1.9262973134,0.0036938693
414,1.9257083582,0.0036277634
415,1.925119403,0.0035616575
416,1.9245304478,0.0034955515999999997
417,1.9239414926,0.0034294457
418,1.9233525374,0.0033633397999999998
419,1.9227635822,0.0032972339
420,1.922174627,0.0032311279999999998
421,1.9216308955999999,0.0031778453
422,1.9210871642,0.0031245625999999998
423,1.9205434328,0.0030712798999999995
424,1.9199997014,0.0030179971999999998
425,1.91945597,0.0029647145
426,1.9189122386,0.0029114317999999998
427,1.9183685072,0.0028581490999999995
428,1.9178247758,0.0028048663999999997
429,1.9172810444000001,0.0027515837
430,1.916737313,0.0026983009999999997
