wl,y
1,1.5086932971871383e-297
2,2.9795968609527155e-295
3,5.765684879707638e-293
4,1.093153486856843e-290
5,2.0307115246584156e-288
6,3.6961719762367387e-286
7,6.591632004334572e-284
8,1.1517827893727406e-281
9,1.9719007996402052e-279
10,3.3077782619882257e-277
11,5.436564710825133e-275
12,8.754867588197758e-273
13,1.3813745474275957e-270
14,2.135552067424734e-268
15,3.234787280410889e-266
16,4.800849993106122e-264
17,6.981156808230186e-262
18,9.946573523475099e-260
19,1.3885337768104485e-257
20,1.8992242522952327e-255
21,2.5452643430704067e-253
22,3.3421534563543205e-251
23,4.299883880476614e-249
24,5.4203073781758505e-247
25,6.69465114043914e-245
26,8.101563369760523e-243
27,9.606088053975455e-241
28,1.115992151908972e-238
29,1.2703183307015902e-236
30,1.4167748434783907e-234
31,1.5481960531774109e-232
32,1.6576312380508787e-230
33,1.7389485635478482e-228
34,1.7874026489780344e-226
35,1.8000928447054036e-224
36,1.7762506967173124e-222
37,1.7173169809222932e-220
38,1.6267975683170745e-218
39,1.509918172853357e-216
40,1.3731252618315852e-214
41,1.2234993678402027e-212
42,1.0681547812838342e-210
43,9.136954782552986e-209
44,7.657828039272587e-207
45,6.2884931365581565e-205
46,5.0596959528767965e-203
47,3.9887709302499225e-201
48,3.0809923462653417e-199
49,2.3317339181417743e-197
50,1.7290366862876713e-195
51,1.2562216487529512e-193
52,8.942628430582093e-192
53,6.237361940619364e-190
54,4.2625899157639484e-188
55,2.8541908379623534e-186
56,1.872532264669995e-184
57,1.2036839196262765e-182
58,7.581104011900543e-181
59,4.6783132610555646e-179
60,2.8286745951102198e-177
61,1.675766593050314e-175
62,9.727044753898509e-174
63,5.532037903257333e-172
64,3.0826642604354163e-170
65,1.683077657930645e-168
66,9.00365675066671e-167
67,4.719223568784946e-165
68,2.4235892733026744e-163
69,1.2195071150962481e-161
70,6.012381124079037e-160
71,2.904327012385552e-158
72,1.374615931215516e-156
73,6.3746167413405055e-155
74,2.896433970115301e-153
75,1.2894664088020797e-151
76,5.624621220820905e-150
77,2.403883277714005e-148
78,1.0066310423451051e-146
79,4.130133682054371e-145
80,1.6603312655464418e-143
81,6.539766325458819e-142
82,2.523867565664384e-140
83,9.543501403114036e-139
84,3.535784341362804e-137
85,1.2835140940093654e-135
86,4.56512173453922e-134
87,1.590892855233723e-132
88,5.432082373889138e-131
89,1.817308300065571e-129
90,5.957001650521605e-128
91,1.913214563351209e-126
92,6.020554373341628e-125
93,1.8562913255787173e-123
94,5.60780152988059e-122
95,1.6598772844801983e-120
96,4.813890150801514e-119
97,1.3678964336351958e-117
98,3.8084398960512937e-116
99,1.0389097979905333e-114
100,2.776805274049655e-113
101,7.271932788631187e-112
102,1.8659118991052574e-110
103,4.691041333139424e-109
104,1.1555380008572765e-107
105,2.7889199704536466e-106
106,6.595150634703744e-105
107,1.5280945750895767e-103
108,3.4690662659261856e-102
109,7.716347987161617e-101
110,1.6816974336905788e-99
111,3.591044320691302e-98
112,7.513296299598901e-97
113,1.540199984624339e-95
114,3.093574366026524e-94
115,6.088087048839148e-93
116,1.1739186269657175e-91
117,2.217849036191178e-90
118,4.105469370440568e-89
119,7.446128018329571e-88
120,1.323229054264643e-86
121,2.3039677993768546e-85
122,3.9305618013210123e-84
123,6.5700655214668785e-83
124,1.0760231610331078e-81
125,1.7266741433497034e-80
126,2.714788488441763e-79
127,4.1821389663717365e-78
128,6.31244733369821e-77
129,9.335421320674502e-76
130,1.3527169305945392e-74
131,1.9205108967087127e-73
132,2.671551022114008e-72
133,3.6412208212635236e-71
134,4.862587275997243e-70
135,6.362453898335451e-69
136,8.156779738360883e-68
137,1.0245889523770033e-66
138,1.2610068620580101e-65
139,1.5206248320387047e-64
140,1.7966502990277846e-63
141,2.079897232521149e-62
142,2.3591581059563623e-61
143,2.6218573870027355e-60
144,2.854946209106704e-59
145,3.045956117494548e-58
146,3.184096356629503e-57
147,3.2612613885226854e-56
148,3.2728180589939836e-55
149,3.21806612952135e-54
150,3.100308515587044e-53
151,2.926521434164839e-52
152,2.7066702700673616e-51
153,2.4527644526460933e-50
154,2.1777758699641273e-49
155,1.8945556508357918e-48
156,1.614873096961628e-47
157,1.348671808299332e-46
158,1.1035982589882546e-45
159,8.848152134403985e-45
160,6.95073935301863e-44
161,5.3499074900792194e-43
162,4.034580534060496e-42
163,2.9811741901826586e-41
164,2.1583067240204065e-40
165,1.531002226078818e-39
166,1.0640825663775947e-38
167,7.246222762518048e-38
168,4.8348708907877995e-37
169,3.160784805454388e-36
170,2.0246120805940222e-35
171,1.270648903923514e-34
172,7.813509701976844e-34
173,4.707643775686689e-33
174,2.779059702578206e-32
175,1.607418670108973e-31
176,9.10955132629897e-31
177,5.0582677392776305e-30
178,2.7519686786349814e-29
179,1.4669726176686408e-28
180,7.661915807868592e-28
181,3.920934531089897e-27
182,1.9659779994385416e-26
183,9.658386118963638e-26
184,4.649083225110165e-25
185,2.1926379436706265e-24
186,1.013219121492411e-23
187,4.587506328902384e-23
188,2.0351050076015595e-22
189,8.845732801814326e-22
190,3.767191155935051e-21
191,1.57194861823613e-20
192,6.426816234062558e-20
193,2.5744844030085605e-19
194,1.010465512370277e-18
195,3.885881683056052e-18
196,1.4641800936589983e-17
197,5.405504962233522e-17
198,1.9553067069203508e-16
199,6.929954079995805e-16
200,2.4064822962754126e-15
201,8.187886852656817e-15
202,2.7295926583915056e-14
203,8.915807795827613e-14
204,2.853385178055681e-13
205,8.947402028980469e-13
206,2.748972211795932e-12
207,8.275239943046204e-12
