Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
300,0.0010633749999999999,0.08825757575757576,0.08825757575757576,0,0.9117424241719355,0,0,0,0,1
302,0.0036,0.12131098863297005,0.12131098863297005,0,0.872803755415047,0,0,0,0,1
304,0.010512500000000003,0.0703088578088578,0.0703088578088578,0,0.9295653286681478,0,0,0,0,1
306,0.020075000000000006,0.07468614718614718,0.07468614718614718,0,0.9252773051392996,0,0,0,0,1
308,0.03715,0.09057765763648115,0.09057765763648115,0,0.9093883598415363,0,0,0,0,1
310,0.0552125,0.0529040404040404,0.0529040404040404,0,0.9470189536240285,0,0,0,0,1
312,0.0926125,0.13450549450549448,0.13450549450549448,0,0.865494474981023,0,0,0,0,1
314,0.11937499999999998,0.0781024531024531,0.0781024531024531,0,0.9217476177786581,0,0,0,0,1
316,0.13612500000000002,0.06014161277319172,0.06014161277319172,0,0.9314799082583665,0,0,0,0,1
318,0.18237499999999998,0.04177109440267335,0.04177109440267335,0,0.9582285413921126,0,0,0,0,1
320,0.21800000000000003,0.034983766233766235,0.034983766233766235,0,0.9650090210682825,0,0,0,0,1
322,0.22675,0.06891996891996893,0.06891996891996893,0,0.9310232571272999,0,0,0,0,1
324,0.26250000000000007,0.04839285714285714,0.04839285714285714,0,0.9515422042878139,0,0,0,0,1
326,0.36162500000000003,0.07981601731601733,0.07981601731601733,0,0.9201683443943978,0,0,0,0,1
328,0.3785,0.08369047619047618,0.08369047619047618,0,0.9163002217617582,0,0,0,0,1
330,0.44387500000000013,0.08114219114219115,0.08114219114219115,0,0.9104002874571474,0,0,0,0,1
332,0.4262499999999999,0.0755259446435917,0.0755259446435917,0,0.924394384473796,0,0,0,0,1
334,0.42737499999999995,0.09079836829836832,0.09079836829836832,0,0.9091421135131019,0,0,0,0,1
336,0.4162499999999999,0.06791666666666667,0.06791666666666667,0,0.9320117887233792,0,0,0,0,1
338,0.425875,0.10126373626373626,0.10126373626373626,0,0.8986798719626151,0,0,0,0,1
340,0.4845,0.0483578921078921,0.0483578921078921,0,0.9514677686994458,0,0,0,0,1
342,0.4883749999999999,0.04385281385281385,0.04385281385281385,0,0.9469588208969155,0,0,0,0,1
344,0.44737499999999997,0.03838383838383839,0.03838383838383839,0,0.9615389170478805,0,0,0,0,1
346,0.48112500000000014,0.07507759784075574,0.07507759784075574,0,0.9247318276656898,0,0,0,0,1
348,0.477375,0.03611111111111111,0.03611111111111111,0,0.9638587534851613,0,0,0,0,1
350,0.5190000000000001,0.05625,0.05625,0,0.9436871209306215,0,0,0,0,1
352,0.5168749999999999,0.04750073455955809,0.04750073455955809,0,0.9523325657903421,0,0,0,0,1
354,0.5871250000000001,0.10177350427350426,0.10177350427350426,0,0.8981951491682887,0,0,0,0,1
356,0.5478750000000001,0.06833333333333333,0.06833333333333333,0,0.9314802083853936,0,0,0,0,1
358,0.43737499999999996,0.05101190476190476,0.05101190476190476,0,0.9489262187138161,0,0,0,0,1
360,0.5543750000000002,0.0775,0.0775,0,0.9223926214161585,0,0,0,0,1
362,0.5458749999999999,0.09378787878787878,0.09378787878787878,0,0.8994167865373235,0,0,0,0,1
364,0.5997500000000001,0.05770202020202021,0.05770202020202021,0,0.9421819871618295,0,0,0,0,1
366,0.7056249999999998,0.04178321678321678,0.04178321678321678,0,0.9581419047286559,0,0,0,0,1
368,0.6850000000000002,0.039005439005439,0.039005439005439,0,0.9608188808384526,0,0,0,0,1
370,0.7169999999999999,0.12095959595959596,0.12095959595959596,0,0.8790076386040679,0,0,0,0,1
372,0.6715,0.044011544011544015,0.044011544011544015,0,0.9558942422515804,0,0,0,0,1
374,0.5661250000000002,0.04435897435897436,0.04435897435897436,0,0.9556096426787233,0,0,0,0,1
376,0.6585,0.10848595848595848,0.10848595848595848,0,0.8913725736900506,0,0,0,0,1
378,0.8009999999999999,0.03427960927960928,0.03427960927960928,0,0.9654859796070273,0,0,0,0,1
380,0.7162499999999998,0.08325008325008323,0.08325008325008323,0,0.916443634106845,0,0,0,0,1
382,0.5962499999999998,0.03607466063348417,0.03607466063348417,0,0.9637891218842067,0,0,0,0,1
384,0.5305,0.05844017094017094,0.05844017094017094,0,0.9413578412987398,0,0,0,0,1
386,0.6414999999999998,0.0375222816399287,0.0375222816399287,0,0.9622075086069385,0,0,0,0,1
388,0.6426249999999999,0.021590909090909095,0.021590909090909095,0,0.9780463476191447,0,0,0,0,1
390,0.7800000000000001,0.02222222222222222,0.02222222222222222,0,0.9774004743916365,0,0,0,0,1
392,0.744625,0.04464646464646464,0.04464646464646464,0,0.9546482969347567,0,0,0,0,1
394,0.5493750000000002,0.014835164835164835,0.014835164835164835,0,0.9847798749202179,0,0,0,0,1
396,0.6940000000000001,0.024027777777777776,0.024027777777777776,0,0.975339542745686,0,0,0,0,1
398,0.8063750000000001,0.05244200244200244,0.05244200244200244,0,0.9470491198445767,0,0,0,0,1
400,1.115,0.034090909090909095,0.034090909090909095,0,0.9650758113766861,0,0,0,0,1
402,1.18,0.030753968253968256,0.030753968253968256,0,0.9686761877929856,0,0,0,0,1
404,1.1675000000000002,0.03511705685618729,0.03511705685618729,0,0.9641279522392964,0,0,0,0,1
406,1.1225000000000003,0.06246753246753247,0.06246753246753247,0,0.9287777545783052,0,0,0,0,1
408,1.1575000000000002,0,0,0,0.9989334045726574,0,0,0,0,1
410,1.125,0.028535353535353535,0.028535353535353535,0,0.9706587295680824,0,0,0,0,1
412,1.2100000000000002,0.08809523809523809,0.08809523809523809,0,0.9111178397956378,0,0,0,0,1
414,1.1924999999999997,0.02944444444444444,0.02944444444444444,0,0.9697236634363371,0,0,0,0,1
416,1.2425,0.027840909090909093,0.027840909090909093,0,0.9714686839107154,0,0,0,0,1
418,1.1974999999999998,0.01111111111111111,0.01111111111111111,0,0.9882000375124835,0,0,0,0,1
420,1.1825000000000003,0.03734487734487735,0.03734487734487735,0,0.9619057209086652,0,0,0,0,1
422,1.2450000000000003,0.03833333333333333,0.03833333333333333,0,0.9611671007081025,0,0,0,0,1
424,1.2200000000000002,0.025416666666666664,0.025416666666666664,0,0.973786504229826,0,0,0,0,1
426,1.2100000000000002,0.006666666666666666,0.006666666666666666,0,0.9923215563258649,0,0,0,0,1
428,1.1549999999999996,0.016025641025641024,0.016025641025641024,0,0.983334928636326,0,0,0,0,1
430,0.9065000000000001,0.02085561497326203,0.02085561497326203,0,0.9781012179672821,0,0,0,0,1
432,1.1655,0.04788059163059163,0.04788059163059163,0,0.9514640691143452,0,0,0,0,1
434,1.1825000000000003,0.0601923076923077,0.0601923076923077,0,0.9391249172231209,0,0,0,0,1
436,1.3375000000000001,0.0125,0.0125,0,0.9867738698351619,0,0,0,0,1
438,1.25,0.034020881079704614,0.034020881079704614,0,0.9655447247584904,0,0,0,0,1
