Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
300,0.0010633749999999999,0.33896825396825403,0.33896825396825403,0,0.6610317460317461,0,0,0,0,1
302,0.0036,0.28500000000000003,0.28500000000000003,0,0.7150000000000001,0,0,0,0,1
304,0.010512500000000003,0.2768939393939394,0.2768939393939394,0,0.7231060606060605,0,0,0,0,1
306,0.020075000000000006,0.2928388278388279,0.2928388278388279,0,0.7071611721611722,0,0,0,0,1
308,0.03715,0.3601551226551227,0.3601551226551227,0,0.6398448773448773,0,0,0,0,1
310,0.0552125,0.26391497391497387,0.26391497391497387,0,0.7360850260850261,0,0,0,0,1
312,0.0926125,0.2154051504051504,0.2154051504051504,0,0.7845948495948496,0,0,0,0,1
314,0.11937499999999998,0.2741700782877253,0.2741700782877253,0,0.7258299217122747,0,0,0,0,1
316,0.13612500000000002,0.2861904761904762,0.2861904761904762,0,0.7138095238095238,0,0,0,0,1
318,0.18237499999999998,0.19153983271630332,0.19153983271630332,0,0.8084601672836967,0,0,0,0,1
320,0.21800000000000003,0.25425518925518925,0.25425518925518925,0,0.7457448107448107,0,0,0,0,1
322,0.22675,0.3122587010512706,0.3122587010512706,0,0.6877412989487293,0,0,0,0,1
324,0.26250000000000007,0.22719280719280724,0.22719280719280724,0,0.7728071928071928,0,0,0,0,1
326,0.36162500000000003,0.2773962148962149,0.2773962148962149,0,0.7226037851037852,0,0,0,0,1
328,0.3785,0.2710725059254471,0.2710725059254471,0,0.7289274940745529,0,0,0,0,1
330,0.44387500000000013,0.2413308913308913,0.2413308913308913,0,0.7586691086691087,0,0,0,0,1
332,0.4262499999999999,0.24460733710733712,0.24460733710733712,0,0.7553926628926628,0,0,0,0,1
334,0.42737499999999995,0.3033193277310924,0.3033193277310924,0,0.6966806722689076,0,0,0,0,1
336,0.4162499999999999,0.28565850815850813,0.28565850815850813,0,0.7143414918414919,0,0,0,0,1
338,0.425875,0.15411796536796535,0.15411796536796535,0,0.8458820346320346,0,0,0,0,1
340,0.4845,0.24484848484848487,0.24484848484848487,0,0.7551515151515151,0,0,0,0,1
342,0.4883749999999999,0.3128507603507603,0.3128507603507603,0,0.6871492396492396,0,0,0,0,1
344,0.44737499999999997,0.25549755799755797,0.25549755799755797,0,0.744502442002442,0,0,0,0,1
346,0.48112500000000014,0.1912154512154512,0.1912154512154512,0,0.8087845487845486,0,0,0,0,1
348,0.477375,0.23981043466337587,0.23981043466337587,0,0.7601895653366241,0,0,0,0,1
350,0.5190000000000001,0.2349439449439449,0.2349439449439449,0,0.7650560550560551,0,0,0,0,1
352,0.5168749999999999,0.23313672438672434,0.23313672438672434,0,0.7668632756132756,0,0,0,0,1
354,0.5871250000000001,0.25895715395715396,0.25895715395715396,0,0.741042846042846,0,0,0,0,1
356,0.5478750000000001,0.26497166232460356,0.26497166232460356,0,0.7350283376753965,0,0,0,0,1
358,0.43737499999999996,0.25728438228438233,0.25728438228438233,0,0.7427156177156178,0,0,0,0,1
360,0.5543750000000002,0.26165778665778666,0.26165778665778666,0,0.7383422133422133,0,0,0,0,1
362,0.5458749999999999,0.30930708180708183,0.30930708180708183,0,0.6906929181929182,0,0,0,0,1
364,0.5997500000000001,0.21643217893217895,0.21643217893217895,0,0.7835678210678211,0,0,0,0,1
366,0.7056249999999998,0.19177901304062295,0.19177901304062295,0,0.808220986959377,0,0,0,0,1
368,0.6850000000000002,0.3297366522366523,0.3297366522366523,0,0.6702633477633477,0,0,0,0,1
370,0.7169999999999999,0.19382950382950384,0.19382950382950384,0,0.8061704961704962,0,0,0,0,1
372,0.6715,0.20797619047619048,0.20797619047619048,0,0.7920238095238096,0,0,0,0,1
374,0.5661250000000002,0.16678253119429592,0.16678253119429592,0,0.8332174688057041,0,0,0,0,1
376,0.6585,0.23375541125541127,0.23375541125541127,0,0.7662445887445888,0,0,0,0,1
378,0.8009999999999999,0.23340895215895213,0.23340895215895213,0,0.7665910478410478,0,0,0,0,1
380,0.7162499999999998,0.2081213231213231,0.2081213231213231,0,0.791878676878677,0,0,0,0,1
382,0.5962499999999998,0.26726551226551226,0.26726551226551226,0,0.7327344877344877,0,0,0,0,1
384,0.5305,0.17731026283657864,0.17731026283657864,0,0.8226897371634216,0,0,0,0,1
386,0.6414999999999998,0.22890331890331894,0.22890331890331894,0,0.7710966810966812,0,0,0,0,1
388,0.6426249999999999,0.18044011544011543,0.18044011544011543,0,0.8195598845598845,0,0,0,0,1
390,0.7800000000000001,0.142002997002997,0.142002997002997,0,0.857997002997003,0,0,0,0,1
392,0.744625,0.21084262356001487,0.21084262356001487,0,0.7891573764399851,0,0,0,0,1
394,0.5493750000000002,0.23174811299811302,0.23174811299811302,0,0.7682518870018871,0,0,0,0,1
396,0.6940000000000001,0.21578865578865578,0.21578865578865578,0,0.7842113442113443,0,0,0,0,1
398,0.8063750000000001,0.1754834054834055,0.1754834054834055,0,0.8245165945165945,0,0,0,0,1
400,1.115,0.18163419913419915,0.18163419913419915,0,0.8183658008658009,0,0,0,0,1
402,1.18,0.21106282606282606,0.21106282606282606,0,0.788937173937174,0,0,0,0,1
404,1.1675000000000002,0.09801087801087802,0.09801087801087802,0,0.9019891219891221,0,0,0,0,1
406,1.1225000000000003,0.14734848484848484,0.14734848484848484,0,0.852651515151515,0,0,0,0,1
