Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
300,0.001027141375530138,0.15575396825396823,0.15575396825396823,0,0.8442460317365439,0,0,0,0,1
302,0.0034773329746406456,0.07892607392607394,0.07892607392607394,0,0.9210120270938322,0,0,0,0,1
304,0.01015429524886383,0.0770707070707071,0.0770707070707071,0,0.9229164482782611,0,0,0,0,1
306,0.01939096096275305,0.06810606060606061,0.06810606060606061,0,0.9318640293889775,0,0,0,0,1
308,0.035884144446638885,0.06948232323232324,0.06948232323232324,0,0.9304941003894154,0,0,0,0,1
310,0.05333117968398517,0.07007326007326009,0.07007326007326009,0,0.9297620521605274,0,0,0,0,1
312,0.08945680558719635,0.09396325896325898,0.09396325896325898,0,0.9060060217052559,0,0,0,0,1
314,0.1153073955132575,0.03913419913419914,0.03913419913419914,0,0.9608594720889023,0,0,0,0,1
316,0.13148665310359942,0.0845289432789433,0.0845289432789433,0,0.9154366340889423,0,0,0,0,1
318,0.1761607225694688,0.07380952380952381,0.07380952380952381,0,0.9261795223171143,0,0,0,0,1
320,0.21057183013101693,0.0857875457875458,0.0857875457875458,0,0.9065201384914177,0,0,0,0,1
322,0.21902368111104625,0.09141996891996892,0.09141996891996892,0,0.9085637150290747,0,0,0,0,1
324,0.25355552940088044,0.11166666666666666,0.11166666666666666,0,0.8882593674404877,0,0,0,0,1
326,0.34930292693178433,0.08882478632478633,0.08882478632478633,0,0.9111494903080335,0,0,0,0,1
328,0.3656029252504123,0.07335200746965455,0.07335200746965455,0,0.9265177399493784,0,0,0,0,1
330,0.4287503261440603,0.08222222222222222,0.08222222222222222,0,0.9177265490423021,0,0,0,0,1
332,0.41172588345571526,0.05163170163170163,0.05163170163170163,0,0.9483067025365204,0,0,0,0,1
334,0.4128125500102905,0.0226923076923077,0.0226923076923077,0,0.9672387722140273,0,0,0,0,1
336,0.40206662519282466,0.06755244755244756,0.06755244755244756,0,0.932439370343387,0,0,0,0,1
338,0.411363661270857,0.0692929292929293,0.0692929292929293,0,0.9306049783910832,0,0,0,0,1
340,0.4679910628370535,0.06805378831694622,0.06805378831694622,0,0.9319152027578468,0,0,0,0,1
342,0.4717340254139237,0.09951298701298703,0.09951298701298703,0,0.9004550794310205,0,0,0,0,1
344,0.4321310665360719,0.07935610141492495,0.07935610141492495,0,0.9205013872956138,0,0,0,0,1
346,0.464731063173328,0.05984848484848485,0.05984848484848485,0,0.9400783853555893,0,0,0,0,1
348,0.46110884132474406,0.0658766233766234,0.0658766233766234,0,0.9257601239275095,0,0,0,0,1
350,0.5013155038440266,0.10595959595959595,0.10595959595959595,0,0.8939272426280246,0,0,0,0,1
352,0.49926291146316215,0.09492424242424244,0.09492424242424244,0,0.9050037781206918,0,0,0,0,1
