# SETFOS, Semiconducting Thin Film Optics Simulator
#
# Parameter file:    C:\Users\Deniz\Documents\Setfos\workspace\PoSiT.parx
# Host name:         DESKTOP-H9RHCC3
# Operating system:  Windows_NT
# User:              Deniz
# Time of execution: Wed Aug 19 13:22:23 2020

# CPU time elapsed: 36.75 s
#
# Sweep spectral: Wavelength (nm)	[300,1200,15]
# Sweep 1: IllumIntScaling ()	[0,1,0.1]
#
# IllumIntScaling()	SEIR()	SIA()	Rref()	Tref()	ITO_Top.isc(mA/cm^2)	ITO_Top.opteff(%)	SnOx.isc(mA/cm^2)	SnOx.opteff(%)	PSK.isc(mA/cm^2)	PSK.opteff(%)	PSK.conversion_eff(%)	HTL.isc(mA/cm^2)	HTL.opteff(%)	ITO_Bot.isc(mA/cm^2)	ITO_Bot.opteff(%)	Si.isc(mA/cm^2)	Si.opteff(%)	isc_R(mA/cm^2)	isc_T(mA/cm^2)	
0.000000e+00	0.000000e+00	0.000000e+00	1.124530e-02	1.800937e-141	0.000000e+00	-nan(ind)	0.000000e+00	-nan(ind)	0.000000e+00	-nan(ind)	0.000000e+00	0.000000e+00	-nan(ind)	0.000000e+00	-nan(ind)	0.000000e+00	-nan(ind)	0.000000e+00	0.000000e+00	
1.000000e-01	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	6.873594e-02	9.964182e-01	2.072891e-02	3.004929e-01	2.121001e+00	3.074670e+01	1.908193e+00	3.716279e-02	5.387237e-01	3.514143e-03	5.094215e-02	2.143934e+00	3.107916e+01	1.684926e-01	1.174385e-01	
2.000000e-01	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	1.374719e-01	9.964182e-01	4.145781e-02	3.004929e-01	4.242001e+00	3.074670e+01	3.816385e+00	7.432558e-02	5.387237e-01	7.028286e-03	5.094215e-02	4.287868e+00	3.107916e+01	3.369852e-01	2.348770e-01	
3.000000e-01	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	2.062078e-01	9.964182e-01	6.218672e-02	3.004929e-01	6.363002e+00	3.074670e+01	5.724578e+00	1.114884e-01	5.387237e-01	1.054243e-02	5.094215e-02	6.431802e+00	3.107916e+01	5.054778e-01	3.523156e-01	
4.000000e-01	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	2.749438e-01	9.964182e-01	8.291562e-02	3.004929e-01	8.484002e+00	3.074670e+01	7.632771e+00	1.486512e-01	5.387237e-01	1.405657e-02	5.094215e-02	8.575736e+00	3.107916e+01	6.739703e-01	4.697541e-01	
5.000000e-01	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	3.436797e-01	9.964182e-01	1.036445e-01	3.004929e-01	1.060500e+01	3.074670e+01	9.540964e+00	1.858140e-01	5.387237e-01	1.757072e-02	5.094215e-02	1.071967e+01	3.107916e+01	8.424629e-01	5.871926e-01	
6.000000e-01	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	4.124156e-01	9.964182e-01	1.243734e-01	3.004929e-01	1.272600e+01	3.074670e+01	1.144916e+01	2.229767e-01	5.387237e-01	2.108486e-02	5.094215e-02	1.286360e+01	3.107916e+01	1.010956e+00	7.046311e-01	
7.000000e-01	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	4.811516e-01	9.964182e-01	1.451023e-01	3.004929e-01	1.484700e+01	3.074670e+01	1.335735e+01	2.601395e-01	5.387237e-01	2.459900e-02	5.094215e-02	1.500754e+01	3.107916e+01	1.179448e+00	8.220696e-01	
8.000000e-01	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	5.498875e-01	9.964182e-01	1.658312e-01	3.004929e-01	1.696800e+01	3.074670e+01	1.526554e+01	2.973023e-01	5.387237e-01	2.811315e-02	5.094215e-02	1.715147e+01	3.107916e+01	1.347941e+00	9.395082e-01	
9.000000e-01	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	6.186235e-01	9.964182e-01	1.865602e-01	3.004929e-01	1.908900e+01	3.074670e+01	1.717373e+01	3.344651e-01	5.387237e-01	3.162729e-02	5.094215e-02	1.929541e+01	3.107916e+01	1.516433e+00	1.056947e+00	
1.000000e+00	1.310514e-02	9.619269e-01	1.124530e-02	1.800937e-141	6.873594e-01	9.964182e-01	2.072891e-01	3.004929e-01	2.121001e+01	3.074670e+01	1.908193e+01	3.716279e-01	5.387237e-01	3.514143e-02	5.094215e-02	2.143934e+01	3.107916e+01	1.684926e+00	1.174385e+00	

